time,plasma conc,CE_SI,CE_alpha,CE_beta,CE_LZc
412,0.037491347,0.041245345,0.045763289,0.041909624,0.044376224
414,0.03733552,0.04107304,0.045600892,0.041735032,0.044201587
416,0.037180388,0.040901492,0.045438629,0.041561182,0.04402743
418,0.037025948,0.040730698,0.045276512,0.041388072,0.043853759
420,0.036872197,0.040560654,0.04511455,0.041215701,0.043680579
422,0.036719131,0.040391359,0.044952756,0.041044066,0.043507895
424,0.036566748,0.040222808,0.044791137,0.040873165,0.043335712
426,0.036415044,0.040055,0.044629705,0.040702997,0.043164033
428,0.036264016,0.039887932,0.044468468,0.040533559,0.042992864
430,0.036113662,0.039721599,0.044307437,0.040364848,0.042822209
432,0.035963978,0.039556,0.04414662,0.040196864,0.042652071
434,0.035814961,0.039391132,0.043986026,0.040029603,0.042482455
436,0.035666608,0.039226992,0.043825663,0.039863064,0.042313364
438,0.035518916,0.039063576,0.043665541,0.039697243,0.042144801
440,0.035371881,0.038900882,0.043505667,0.039532139,0.04197677
442,0.035225502,0.038738907,0.043346049,0.03936775,0.041809274
444,0.035079775,0.038577648,0.043186694,0.039204072,0.041642316
446,0.034934697,0.038417102,0.043027612,0.039041105,0.041475898
448,0.034790264,0.038257266,0.042868807,0.038878844,0.041310023
450,0.034646475,0.038098137,0.042710289,0.038717288,0.041144695
452,0.034503326,0.037939712,0.042552063,0.038556435,0.040979915
454,0.034360814,0.037781988,0.042394137,0.038396281,0.040815685
456,0.034218937,0.037624963,0.042236516,0.038236825,0.040652008
458,0.034077691,0.037468633,0.042079208,0.038078063,0.040488886
460,0.033937073,0.037312995,0.041922219,0.037919994,0.04032632
462,0.033797081,0.037158047,0.041765554,0.037762615,0.040164312
464,0.033657712,0.037003785,0.041609219,0.037605923,0.040002865
466,0.033518963,0.036850207,0.04145322,0.037449916,0.039841979
468,0.033380831,0.03669731,0.041297563,0.037294591,0.039681656
470,0.033243313,0.03654509,0.041142253,0.037139945,0.039521898
472,0.033106407,0.036393545,0.040987295,0.036985977,0.039362705
474,0.032970109,0.036242673,0.040832693,0.036832683,0.039204078
476,0.032834418,0.036092469,0.040678454,0.03668006,0.039046019
478,0.032699329,0.035942931,0.040524581,0.036528107,0.038888529
480,0.032564841,0.035794056,0.04037108,0.03637682,0.038731608
482,0.032430951,0.035645842,0.040217954,0.036226197,0.038575258
484,0.032297656,0.035498285,0.040065208,0.036076236,0.038419478
486,0.032164952,0.035351383,0.039912846,0.035926933,0.038264269
488,0.032032839,0.035205133,0.039760872,0.035778286,0.038109633
490,0.031901312,0.035059531,0.03960929,0.035630293,0.037955568
492,0.031770369,0.034914576,0.039458104,0.03548295,0.037802076
494,0.031640008,0.034770263,0.039307317,0.035336255,0.037649158
496,0.031510226,0.034626591,0.039156933,0.035190206,0.037496812
498,0.03138102,0.034483557,0.039006955,0.0350448,0.037345039
500,0.031252387,0.034341157,0.038857387,0.034900034,0.03719384
502,0.031124326,0.034199389,0.038708232,0.034755906,0.037043213
504,0.030996833,0.034058251,0.038559493,0.034612412,0.03689316
506,0.030869905,0.033917738,0.038411172,0.034469551,0.03674368
508,0.030743541,0.033777849,0.038263273,0.034327319,0.036594772
510,0.030617737,0.033638581,0.038115798,0.034185715,0.036446437
512,0.030492492,0.033499931,0.03796875,0.034044735,0.036298674
514,0.030367802,0.033361896,0.037822131,0.033904376,0.036151483
516,0.030243665,0.033224473,0.037675945,0.033764637,0.036004863
518,0.030120078,0.03308766,0.037530192,0.033625514,0.035858814
520,0.029997039,0.032951455,0.037384876,0.033487006,0.035713335
522,0.029874546,0.032815853,0.037239999,0.033349108,0.035568426
524,0.029752596,0.032680853,0.037095562,0.03321182,0.035424086
526,0.029631186,0.032546453,0.036951568,0.033075137,0.035280314
528,0.029510314,0.032412648,0.036808018,0.032939058,0.03513711
530,0.029389978,0.032279437,0.036664914,0.03280358,0.034994473
532,0.029270175,0.032146817,0.036522259,0.0326687,0.034852401
534,0.029150902,0.032014785,0.036380053,0.032534416,0.034710895
536,0.029032158,0.031883339,0.036238299,0.032400725,0.034569953
538,0.02891394,0.031752475,0.036096997,0.032267624,0.034429575
540,0.028796245,0.031622192,0.035956149,0.032135112,0.034289759
542,0.028679071,0.031492487,0.035815756,0.032003185,0.034150504
544,0.028562416,0.031363357,0.03567582,0.031871841,0.03401181
546,0.028446277,0.0312348,0.035536342,0.031741078,0.033873675
548,0.028330653,0.031106812,0.035397323,0.031610892,0.033736098
550,0.028215539,0.030979392,0.035258764,0.031481282,0.033599078
552,0.028100936,0.030852537,0.035120665,0.031352245,0.033462613
554,0.027986839,0.030726244,0.034983029,0.031223778,0.033326704
556,0.027873247,0.030600511,0.034845855,0.031095878,0.033191348
558,0.027760157,0.030475335,0.034709145,0.030968544,0.033056544
560,0.027647567,0.030350713,0.034572899,0.030841773,0.032922291
562,0.027535476,0.030226644,0.034437118,0.030715562,0.032788588
564,0.027423879,0.030103125,0.034301803,0.03058991,0.032655433
566,0.027312776,0.029980153,0.034166954,0.030464812,0.032522825
568,0.027202164,0.029857726,0.034032571,0.030340268,0.032390762
570,0.027092041,0.02973584,0.033898656,0.030216274,0.032259243
572,0.026982405,0.029614495,0.033765208,0.030092828,0.032128268
574,0.026873252,0.029493687,0.033632227,0.029969927,0.031997833
576,0.026764582,0.029373414,0.033499715,0.02984757,0.031867938
578,0.026656392,0.029253674,0.033367671,0.029725754,0.031738582
580,0.02654868,0.029134464,0.033236096,0.029604476,0.031609762
582,0.026441443,0.029015781,0.03310499,0.029483734,0.031481478
584,0.02633468,0.028897624,0.032974352,0.029363526,0.031353728
586,0.026228388,0.028779989,0.032844183,0.029243849,0.03122651
588,0.026122565,0.028662876,0.032714484,0.029124701,0.031099823
590,0.026017209,0.02854628,0.032585253,0.029006079,0.030973665
592,0.025912318,0.0284302,0.032456491,0.028887981,0.030848034
594,0.02580789,0.028314634,0.032328198,0.028770406,0.03072293
596,0.025703922,0.028199579,0.032200373,0.028653349,0.03059835
598,0.025600413,0.028085033,0.032073017,0.02853681,0.030474292
600,0.02549736,0.027970993,0.031946129,0.028420786,0.030350756
602,0.025394762,0.027857458,0.031819709,0.028305274,0.030227739
604,0.025292616,0.027744424,0.031693757,0.028190273,0.03010524
606,0.025190921,0.027631891,0.031568273,0.028075779,0.029983257
608,0.025089673,0.027519854,0.031443255,0.027961791,0.029861788
610,0.024988872,0.027408313,0.031318704,0.027848307,0.029740833
612,0.024888515,0.027297265,0.031194619,0.027735323,0.029620388
614,0.0247886,0.027186707,0.031071,0.027622839,0.029500453
